159,-18,-9,71.2876796726189,3
156,-21,-13,46.85840250917197,2
151,-23,-13,34.94496001815684,2
145,-26,-19,27.21767621400356,2
119,-34,-20,24.90913588413312,1
100,-38,-20,46.406095084453526,2
94,-39,-20,47.952551143544646,2
43,-50,-22,19.193730853965388,1
44,-50,-20,27.786862060365845,2
54,-48,-19,47.830698725260405,2
76,-44,-17,28.557377081403878,2
86,-41,-19,39.102605483228594,2
77,-44,-14,23.14072841884999,1
48,-49,-14,27.572052393089333,2
72,-45,-9,66.3718880871886,3
71,-45,-10,66.84222175570528,3
134,-30,-21,69.48270720564548,3
140,-28,-8,25.017300626765493,2
157,-21,-5,26.128009824390272,2
167,-14,-10,45.243409973853254,2
152,-23,-9,23.134580798556257,1
148,-25,-8,22.354736764698323,1
136,-29,-9,53.565848096416836,3
