192,-3,-8,35.06090852493114,2
184,-7,-11,19.457712038595577,1
190,-4,-10,39.69331121370362,2
199,-1,-10,51.8246625435179,3
202,0,-7,23.500652435277367,1
203,0,-4,58.083377063050754,3
218,4,-4,65.67092361883095,3
214,3,-7,33.03223305840862,2
191,-3,-16,32.05548577814458,2
197,-1,-17,67.07825086045922,3
213,3,-13,59.17928086940941,3
234,8,-9,33.354577136250704,2
247,11,-4,18.939177016062214,1
262,16,-12,49.8534576519302,2
287,22,-15,55.157460483796456,3
258,14,-13,41.20367258343118,2
257,14,-17,46.67860937649098,2
260,15,-18,35.28695842781195,2
268,18,-17,31.42002754457129,2
240,9,-15,60.525423596441634,3
198,-1,-13,44.08137764881814,2
201,0,-11,20.951066544079875,1
186,-6,-11,39.547491557695665,2
181,-8,-13,30.56068208531663,2
183,-7,-13,37.01480504978563,2
178,-10,-10,37.92368553143299,2
