237,232
59,64
33,173
82,56
273,163
20,221
189,2
168,217
44,20
208,299
259,94
152,120
277,142
215,158
179,92
10,45
290,90
62,92
29,162
129,29
275,92
2,153
270,4
58,252
233,104
242,171
52,181
53,155
40,36
105,193
291,54
228,16
103,232
40,292
219,34
184,202
160,64
68,228
246,24
69,229
193,8
71,19
106,138
39,197
289,250
237,60
5,64
242,175
76,115
249,281
12,216
89,161
91,109
46,232
230,151
109,288
270,205
154,21
219,168
263,202
84,209
51,184
148,135
176,54
116,12
261,250
53,230
59,161
162,164
288,249
294,63
161,284
243,97
215,264
55,284
113,253
139,116
291,12
164,209
180,172
37,114
129,99
222,150
165,43
45,127
99,98
231,137
279,150
289,96
119,170
257,122
287,172
274,80
276,28
232,92
192,294
147,133
238,1
38,74
59,295
146,25
146,34
5,58
83,234
152,68
151,112
7,86
213,182
238,266
233,160
167,224
43,179
115,46
158,255
184,164
221,213
92,157
246,215
149,35
277,193
293,70
117,250
298,5
283,291
249,149
221,78
132,229
117,97
142,279
119,277
297,73
93,148
45,108
177,227
110,237
255,174
274,187
43,156
95,203
230,257
197,61
274,52
84,59
126,37
232,55
268,139
244,20
255,295
197,97
92,179
121,215
267,269
45,67
208,201
50,191
239,197
59,96
249,238
257,251
241,5
235,92
6,269
180,4
119,137
156,284
56,206
5,133
29,100
137,289
87,77
219,107
13,124
213,149
243,171
75,53
231,229
95,67
299,193
96,279
155,194
266,52
287,84
38,292
118,144
259,31
218,231
123,259
2,216
210,254
195,113
224,27
141,160
7,169
188,92
113,205
283,100
97,71
77,251
7,43
131,249
104,232
67,103
169,123
270,35
17,93
72,190
111,118
218,253
128,198
209,43
205,18
16,2
23,288
236,14
146,215
50,0
167,158
138,122
264,72
50,238
69,13
172,96
4,140
204,76
127,192
207,230
62,239
58,107
75,38
147,206
219,222
205,251
198,126
122,118
273,287
57,254
182,285
192,79
95,137
232,124
161,82
57,290
98,62
225,103
81,229
238,51
168,215
125,281
23,4
207,63
140,162
92,122
11,286
206,116
10,52
204,192
147,48
226,189
27,141
164,128
271,120
18,1
80,223
65,271
13,81
98,39
264,62
69,241
10,164
261,173
171,118
279,69
268,32
225,98
241,213
271,214
73,220
281,258
116,200
30,258
222,190
160,215
55,171
113,140
159,256
216,143
224,245
128,39
238,176
142,50
88,97
202,82
290,204
29,29
297,109
40,29
214,65
98,299
168,196
37,158
229,81
275,197
264,178
17,176
299,172
43,57
192,64
299,1
72,120
261,154
265,115
270,230
131,35
296,139
83,4
17,68
12,200
132,134
206,83
284,259
199,44
55,170
293,60
133,126
14,7
299,167
122,107
104,175
84,117
105,158
280,10
250,247
288,130
18,269
157,204
93,21
243,234
170,259
253,275
78,5
123,156
80,185
137,100
161,30
135,148
284,137
207,173
11,198
183,63
193,247
169,137
234,154
32,159
40,32
122,223
3,132
86,148
104,282
159,227
278,89
108,270
149,42
267,25
141,196
159,110
219,124
163,71
229,16
123,7
36,277
6,7
195,32
284,217
276,124
124,246
59,135
260,286
36,160
254,221
211,259
154,152
43,37
241,147
265,77
31,157
181,272
259,30
164,21
226,280
235,72
91,55
248,298
25,226
145,282
104,290
127,255
66,245
152,186
132,217
171,47
202,25
173,227
30,169
260,231
145,21
198,274
133,65
27,56
188,266
221,25
114,60
231,227
57,200
130,32
90,197
195,161
299,209
47,6
180,127
20,156
263,161
146,250
272,237
6,239
142,109
26,77
79,80
63,72
124,240
241,258
234,219
9,119
240,262
128,219
167,58
223,209
264,219
107,263
55,225
88,268
65,293
55,81
82,53
253,200
122,265
190,180
5,116
21,79
261,51
155,88
95,293
192,244
12,286
82,183
99,272
194,253
245,237
221,127
194,262
212,69
102,17
36,81
281,19
45,157
35,134
136,186
256,102
66,207
260,72
94,287
232,248
105,64
4,259
156,109
294,250
138,259
88,240
140,30
110,178
299,203
272,186
133,9
27,9
24,111
172,98
107,127
81,236
102,39
93,219
200,202
122,273
24,214
30,117
293,91
156,113
20,109
117,60
129,25
274,123
84,130
